256 10.8234  1.76665 2.75277
257 15.5705  1.77046 2.75277
258 12.7546  1.77346 2.75277
259 10.4618  1.77568 2.75277
260 15.3514  1.77936 2.75277
261 13.8435  1.78261 2.75277
262 10.1929  1.78467 2.75277
263 15.0489  1.78819 2.75277
264 14.8492  1.79163 2.75277
265 10.0334  1.79358 2.75277
266 14.6743  1.79693 2.75277
267 15.7083  1.80052 2.75419
268 10.0114  1.80239 2.75419
269 14.2329  1.80557 2.75419
270 16.3838  1.80923 2.79629
271 10.1743  1.81112 2.79629
272 13.7327  1.81409 2.79629
273 16.8594  1.81779 2.82491
274 10.5783  1.81977 2.82491
275 13.1914  1.82253 2.82491
276 17.1352  1.82622 2.84113
277 11.2583  1.82837 2.84113
278 12.6404  1.83092 2.84113
279 17.2256  1.83456 2.8464
280 12.1962  1.83694 2.8464
281 12.1191  1.83928 2.8464
282 17.1564  1.84284 2.8464
283 13.3149  1.84547 2.8464
284 11.6644  1.84762 2.8464
285 16.9583  1.85107 2.8464
286 14.5035  1.85395 2.8464
287 11.3027  1.85594 2.8464
288 16.6587  1.85927 2.8464
289 15.6513  1.86235 2.8464
290 11.0512  1.86421 2.8464
291 16.2756  1.86739 2.8464
292 16.672  1.87063 2.8464
293 10.9314  1.87241 2.8464
294 15.818  1.87543 2.8464
295 17.51  1.87878 2.86277
296 10.9821  1.88053 2.86277
297 15.2923  1.88338 2.86277
298 18.1362  1.88679 2.89791
299 11.261  1.88857 2.89791
300 14.7108  1.89124 2.89791
301 18.5415  1.89466 2.92001
302 11.823  1.89656 2.92001
303 14.0995  1.89904 2.92001
304 18.7339  1.90243 2.93033
305 12.6834  1.90452 2.93033
306 13.4975  1.9068 2.93033
307 18.7354  1.91014 2.93042
308 13.7926  1.91245 2.93042
309 12.948  1.91455 2.93042
310 18.578  1.9178 2.93042
311 15.0463  1.92035 2.93042
312 12.4867  1.92229 2.93042
313 18.2949  1.92544 2.93042
314 16.3195  1.9282 2.93042
315 12.1366  1.93 2.93042
316 17.9123  1.93302 2.93042
317 17.5018  1.93595 2.93042
318 11.916  1.93766 2.93042
319 17.4457  1.94055 2.93042
320 18.5143  1.9436 2.93042
321 11.8542  1.94525 2.93042
322 16.9026  1.94799 2.93042
323 19.3105  1.95113 2.96065
324 12.0025  1.95278 2.96065
325 16.2916  1.95535 2.96065
326 19.8696  1.95852 2.98919
327 12.4255  1.96024 2.98919
328 15.632  1.96265 2.98919
329 20.1906  1.96582 3.00522
330 13.1679  1.96767 3.00522
331 14.9587  1.9699 3.00522
332 20.2897  1.97303 3.01011
333 14.2167  1.97508 3.01011
334 14.3174  1.97713 3.01011
335 20.1965  1.9802 3.01011
336 15.4892  1.98246 3.01011
337 13.7527  1.98436 3.01011
338 19.9479  1.98734 3.01011
339 16.8577  1.98981 3.01011
340 13.297  1.99157 3.01011
341 19.578  1.99445 3.01011
342 18.1905  1.99711 3.01011
343 12.9708  1.99875 3.01011
344 19.1103  2.00152 3.01011
345 19.3822  2.00431 3.01011
346 12.7963  2.00589 3.01011
347 18.5573  2.00852 3.01011
348 20.3638  2.01141 3.01376
349 12.8144  2.01296 3.01376
350 17.9265  2.01545 3.01376
351 21.0986  2.0184 3.0492
352 13.0881  2.01997 3.0492
353 17.2312  2.02231 3.0492
354 21.5744  2.02527 3.07151
355 13.6823  2.02694 3.07151
356 16.4992  2.02912 3.07151
357 21.799  2.03207 3.08186
358 14.6218  2.03388 3.08186
359 15.7743  2.0359 3.08186
360 21.7971  2.03881 3.08186
361 15.8591  2.04082 3.08186
362 15.1069  2.04268 3.08186
363 21.6055  2.04552 3.08186
364 17.2792  2.04773 3.08186
365 14.5401  2.04945 3.08186
366 21.2641  2.0522 3.08186
367 18.738  2.0546 3.08186
368 14.1021  2.0562 3.08186
369 20.8057  2.05886 3.08186
370 20.1035  2.0614 3.08186
371 13.8131  2.06292 3.08186
372 20.2505  2.06547 3.08186
373 21.2796  2.06813 3.08186
374 13.7032  2.06959 3.08186
375 19.6085  2.07201 3.08186
376 22.2085  2.07475 3.10047
377 13.8263  2.07621 3.10047
378 18.8892  2.07849 3.10047
379 22.8635  2.08127 3.12954
380 14.2547  2.08278 3.12954
381 18.1127  2.08492 3.12954
382 23.2418  2.08769 3.14595
383 15.0443  2.08932 3.14595
384 17.3167  2.09131 3.14595
385 23.3602  2.09406 3.15103
386 16.1902  2.09585 3.15103
387 16.5527  2.09768 3.15103
388 23.2521  2.10039 3.15103
389 17.6072  2.10236 3.15103
390 15.8731  2.10406 3.15103
391 22.9599  2.10669 3.15103
392 19.1528  2.10885 3.15103
393 15.3172  2.11043 3.15103
394 22.5247  2.11298 3.15103
395 20.6741  2.1153 3.15103
396 14.9094  2.11678 3.15103
397 21.9763  2.11923 3.15103
398 22.045  2.12168 3.15103
399 14.6728  2.12309 3.15103
400 21.331  2.12543 3.15103
401 23.1812  2.12797 3.15103
402 14.649  2.12936 3.15103
403 20.598  2.13158 3.15103
404 24.0368  2.13417 3.17959
405 14.9058  2.13557 3.17959
406 19.7909  2.13767 3.17959
407 24.5955  2.14028 3.20256
408 15.5177  2.14176 3.20256
409 18.939  2.14371 3.20256
410 24.864  2.14632 3.21342
411 16.5213  2.14792 3.21342
412 18.09  2.14974 3.21342
413 24.8689  2.15231 3.21362
